Code_Zone,Com_ID
1,26734
10,26746
100,26884
101,26899
102,26881
103,26872
104,26869
105,26875
106,26944
107,26938
108,26908
109,26914
11,26752
110,26905
111,26953
112,26920
113,26911
114,26965
115,26980
116,26968
117,26974
118,27007
119,26986
12,26761
120,27001
121,26992
122,26983
123,27010
124,27013
125,27016
126,27022
127,27025
128,27031
129,27037
13,27160
130,27052
131,27043
132,27064
133,27049
134,27070
135,27067
136,27079
137,27109
138,27088
139,27097
14,27154
140,27106
141,27094
142,27466
143,27469
144,27472
145,27475
146,27484
147,27493
148,26851
149,26839
15,27148
150,26866
151,26854
152,26857
153,26830
154,26833
155,26836
156,26842
157,26782
158,26787
159,26785
16,27151
160,26776
161,26770
162,26764
163,26779
164,27643
165,27646
166,27649
167,27652
168,27658
169,27655
17,27139
170,27661
171,27604
172,27628
173,27640
174,27631
175,27619
176,27622
177,27625
178,27595
179,27616
18,27139
180,27460
181,27454
182,27445
183,27436
184,27601
185,27598
186,27607
187,27613
188,27610
189,27637
19,27124
190,27634
191,27565
192,27568
193,27574
194,27562
195,27559
196,27571
197,27577
198,27580
199,27589
2,26737
20,27121
200,27592
201,26794
202,26827
203,26815
204,26800
205,26821
206,26806
207,26797
208,26809
209,26812
21,27142
210,27496
211,27535
212,27544
213,27517
214,27505
215,27499
216,27664
219,28162
22,27133
220,28159
221,28168
223,28111
226,28027
227,27997
228,27991
23,27130
231,27931
232,27937
233,27964
235,25765
236,25759
237,25741
238,25744
239,25963
24,27127
240,25969
241,25942
242,25951
248,26053
249,26011
25,27298
250,25996
251,25993
252,25999
253,26032
254,26029
255,26017
256,26035
257,26050
258,26020
26,27274
263,26476
264,26470
265,26497
27,27265
28,27262
29,27256
3,26740
30,27259
31,27289
32,27277
33,27325
34,27313
35,27307
36,27301
37,27334
38,27337
39,27322
4,26740
40,27316
41,27304
42,27340
43,27328
44,27310
45,27343
46,27331
47,27319
48,27370
49,27367
5,26740
50,27379
51,27361
51,27373
52,27355
53,27382
54,27376
55,27352
56,27385
57,27364
58,27358
59,27346
6,26743
60,27391
61,27409
62,27418
63,27424
64,27433
65,27433
66,27388
67,27403
68,27400
69,27421
7,26749
70,27427
71,27427
72,27430
73,27184
74,27190
75,27181
76,27187
77,27202
78,27196
79,27178
8,26758
80,27175
81,27172
82,27166
83,27169
84,27163
85,27247
86,27250
87,27220
88,27241
89,27211
9,26758
90,27238
91,27229
92,27223
93,27217
94,27226
95,27214
96,27208
97,27253
98,26893
99,26887